"Code","Company","Market Cap","alpha","beta","alpha(0) ~ Pr(>|t|)","beta(1) ~ Pr(>|t|)","alpha.rtns","Exp.Rtn","Exp.Rtn.SD","Rtn.SD","Sharpe","RP.Exp.Rtn","RP.Exp.Rtn.SE","RP.Rtn.SD","RP.Sharpe","Rep. Port. Superior?"
"FPP","Fat Prophets Global Property Fund","12,528,100",-0.00648064373479037,0.770525971009831,0.599929689073838,0.321671560720485,"FALSE",-0.00935870398964173,0.0142986793952666,0.0770007450678891,-0.121540434204766,-0.000161214076659759,0.0045886401876841,0.0349460425338509,-0.00461322842217675,"TRUE"
"FSI","Flagship Investments Ltd","35,703,800",-0.00202135566640926,0.499901506182128,0.901296236723488,0.308577720355672,"FALSE",-0.000921333835392328,0.0161219138115022,0.121717780056547,-0.00756942687390702,-0.000104592398922458,0.00297701599615759,0.0226722783592636,-0.00461322842217677,"TRUE"
"GC1","Glennon Small Companies Ltd","22,104,600",-0.0163645597115816,1.40891762921094,0.0940790627734073,0.0643161499586892,"FALSE",-0.0149622173079128,0.012748795084012,0.0945475948143423,-0.158250639133584,-0.000294782217898796,0.00839039344262602,0.0638993327279681,-0.00461322842217681,"TRUE"
"GCI","Gryphon Capital Income Trust","340,109,000",0.00195067053811298,0.0521730793014434,0.679819304163015,9.47574290336153e-11,"FALSE",0.000830975176469567,0.0045770984988676,0.0214684949333527,0.0387067271855463,-1.09159653568268e-05,0.000310701387630163,0.00236623127186839,-0.00461322842217681,"FALSE"
"GFL","Global Masters Fund Ltd","18,336,600",0.00365156282759033,0.0310531809710755,0.802678586553856,0.00407697985033702,"FALSE",0.00281552758000537,0.0144168604231418,0.109795537881557,0.025643369797438,-6.49713323879169e-06,0.000184928061506555,0.00140837015734117,-0.00461322842217665,"FALSE"
"GVF","Global Value Fund Ltd","138,834,000",-0.00408843077658786,0.25040710201155,0.46618341243919,1.26829256498447e-07,"FALSE",-0.00497036057046032,0.00572085320498669,0.043568719981133,-0.114080940927635,-5.23916795262996e-05,0.00149122564949475,0.0113568361961966,-0.00461322842217674,"TRUE"
"HHY","HHY Fund","3,646,730",-0.0233505605768294,1.04284259757067,0.359675669433225,0.939541361988101,"FALSE",-0.0243982884898251,0.0258181098070915,0.196624866313089,-0.124085467658883,-0.000218189798649465,0.00621034154938381,0.0472965521500264,-0.00461322842217671,"TRUE"
"HM1","Hearts and Minds Investments Ltd","534,955,000",0.00657156431791407,0.296733574641188,0.60953408062642,0.00221437533596348,"FALSE",0.00444422288779215,0.0131582306495348,0.0526329225981394,0.0844380792175363,-6.20843826808754e-05,0.00176710929528985,0.0134579034461906,-0.00461322842217664,"FALSE"
"IBC","Ironbark Capital Ltd","49,882,500",-0.0033489395628307,0.60544184025033,0.743823634243978,0.0874128685850225,"FALSE",-0.00430515185938414,0.0107311948258899,0.0817263449487983,-0.0526776507878987,-0.00012667418220728,0.00360553033123219,0.0274589009289747,-0.00461322842217668,"TRUE"
"KAT","Katana Capital Ltd","22,164,300",-0.0169756947346064,1.34559279918464,0.769978986024941,0.788960810073872,"FALSE",-0.0180867658651549,0.0578234055307805,0.44036993673078,-0.0410717543514152,-0.000281533016202256,0.00801328109227121,0.0610273306322468,-0.0046132284221767,"TRUE"
